datetime,COGT,PT08_S1CO,NMHCGT,C6H6GT,PT08_S2NMHC,NOxGT,PT08_S3NOx,NO2GT,PT08_S4NO2,PT08_S5O3,T,RH,AH,hour,day_of_week,month,is_weekend
2004-08-13 22:00:00,1.2,956.75,275.0,5.0711119746790105,767.0,57.0,866.5,74.0,1533.5,577.0,26.550000190735,50.400000572205,1.7240034681756915,22,4,8,0
2004-08-13 23:00:00,1.4,993.75,275.0,5.881393021131512,806.25,72.0,830.0,90.0,1579.75,674.25,25.949999809265,52.924999237061,1.7478472441807031,23,4,8,0
2004-08-14 00:00:00,1.3,984.0,275.0,5.633465103186379,794.5,63.0,838.25,78.0,1569.5,675.75,25.425000190735,54.60000038147,1.748348750693404,0,5,8,1
2004-08-14 01:00:00,1.0,919.25,275.0,4.481885361504611,736.75,49.0,899.0,63.0,1533.75,611.0,25.075000286102,55.700000762939,1.7471341515977017,1,5,8,1
2004-08-14 02:00:00,0.6,846.5,275.0,2.4776583598193884,618.0,30.0,1074.5,42.0,1442.0,528.75,25.075000286102,55.25,1.7330190404593393,2,5,8,1
2004-08-14 03:00:00,0.4,801.75,275.0,1.674784556310966,559.0,30.0,1232.25,42.0,1413.5,478.25,24.950000286102,55.97500038147,1.7428439034140903,3,5,8,1
2004-08-14 04:00:00,0.4,794.75,275.0,1.8014016634528234,569.0,18.0,1178.25,27.0,1425.5,497.25,25.22500038147,55.0,1.7405166982831453,4,5,8,1
2004-08-14 05:00:00,0.4,808.75,275.0,1.9187037837803504,578.0,22.0,1169.75,29.0,1445.25,513.0,25.575000286102,53.52499961853,1.7291295680642365,5,5,8,1
2004-08-14 06:00:00,0.5,834.5,275.0,2.5966872968302512,626.0,39.0,1088.0,41.0,1471.25,562.75,24.650000095367,55.949999809265,1.7114234749870794,6,5,8,1
2004-08-14 07:00:00,1.1,967.25,275.0,6.302848755839772,825.75,68.0,820.5,61.0,1639.25,822.0,24.0,57.200000762939,1.6834551284856016,7,5,8,1
2004-08-14 08:00:00,1.2,968.5,275.0,6.810174913240995,848.5,84.0,799.75,68.0,1626.0,889.5,25.025000095367,53.174999237061,1.6630151128470192,8,5,8,1
2004-08-14 09:00:00,0.9,913.25,275.0,4.711914188280806,748.75,54.0,910.5,58.0,1535.0,742.25,28.0,43.425000190735,1.6161680484688448,9,5,8,1
2004-08-14 10:00:00,0.9,933.0,275.0,4.687724073925867,747.5,51.0,947.5,52.0,1550.75,628.75,31.64999961853,35.474999427795,1.6268764071764108,10,5,8,1
2004-08-14 11:00:00,1.0,922.0,275.0,4.027580344201121,712.25,52.0,923.75,57.0,1494.0,608.75,34.97500038147,29.0,1.6016586652244509,11,5,8,1
2004-08-14 12:00:00,0.8,913.5,275.0,4.284650061791204,726.25,44.0,958.5,51.0,1495.5,533.5,35.27499961853,27.625,1.5512199062589374,12,5,8,1
2004-08-14 13:00:00,0.8,872.75,275.0,3.7949708199494,699.25,47.0,998.75,53.0,1413.25,527.5,36.175000190735,24.124999523163,1.4234819909001946,13,5,8,1
2004-08-14 14:00:00,0.7,831.0,275.0,3.385350108425627,675.5,37.0,1041.0,49.0,1349.75,463.25,34.799999237061,24.450000286102,1.3373492453485136,14,5,8,1
2004-08-14 15:00:00,0.7,839.5,275.0,3.551096219905272,685.25,33.0,1051.0,44.0,1339.25,461.75,38.199999809265,19.599999904633,1.2914906966738098,15,5,8,1
